image_name, comment_number, comment
246901891.jpg, 0, a man wearing a yellow shirt and carrying coffee walking onto the sidewalk
246901891.jpg, 1, A man in yellow holding a coffee is walking on the sidewalk .
246901891.jpg, 2, A man in a yellow shirt walks past a tree on the sidewalk .
246901891.jpg, 3, Man walking fast with coffee in hand down the sidewalk .
246901891.jpg, 4, A man steps onto a sidewalk .
2540757246.jpg, 0," Four guys are standing by a white fence , one of them holding a Frisbee ."
2540757246.jpg, 1, Four men and one female stand near a rail at night .
2540757246.jpg, 2, A group of people stand on a balcony at nighttime .
2540757246.jpg, 3, A group of people stand outside at night talking .
2540757246.jpg, 4, People stand and talk .
2599444370.jpg, 0, A black dog paddles behind a black cat in a body of water .
2599444370.jpg, 1, Two black dogs are dog paddling in a sparkling blue pool .
2599444370.jpg, 2, A dog and a cat are swimming in a swimming pool .
2599444370.jpg, 3, Two black dogs are swimming in a pool .
2599444370.jpg, 4, Two dogs swimming in a pool .
2632133026.jpg, 0," An old man with a cowboy hat , cowboy boots , and blue jeans stands next to a cabin and looks off into the distance as the sun sets in the background ."
2632133026.jpg, 1," One man wearing a green jacket , blue jeans , boots and a gray cowboy hat standing beside a barn watching the sun"
2632133026.jpg, 2, A man standing at te corner of a barn wearing a green shirt staring into the sunset .
2632133026.jpg, 3, A man stands looking in the distance as the sun peaks behind a wooden structure .
2632133026.jpg, 4, Man in a cowboy hat and jeans stands in front of a wooden building .
2634290212.jpg, 0," A woman , dressed in a parade outfit , pointing her index finger to her opened mouth ."
2634290212.jpg, 1, Two female performers wearing costumes are standing in the street beside a building .
2634290212.jpg, 2, Two old ladies dressed up in colorful costumes .
2634290212.jpg, 3, Man dressed in drag pointing at his open mouth .
2634290212.jpg, 4, Women dancing at an outdoor festival .
2662262499.jpg, 0," This baseball player , dressed in red and white uniform and holding a bat , is falling after being hit by a pitch ."
2662262499.jpg, 1, A boy at bat playing a baseball game falls to the ground while onlookers watch .
2662262499.jpg, 2, A child in a uniform is falling to the ground with a bat in his or her hand .
2662262499.jpg, 3, A baseball hitter holding a bat falling down .
2662262499.jpg, 4, A baseball player runs on the field .
271637337.jpg, 0, A dog in a competition jumps over a hurdle .
271637337.jpg, 1, A furry dog is jumping over a hurdle .
271637337.jpg, 2, A collie jumps over a hurdle .
271637337.jpg, 3, A dog jumping over a hurdle .
271637337.jpg, 4, A dog jumps over a barrier .
2718184776.jpg, 0, Three dark-haired people stand near each other with large buildings in the background .
2718184776.jpg, 1," A group of people converse in front of a building with the words "" legalize LA """
2718184776.jpg, 2, Two men and a woman are having a conversation on the street .
2718184776.jpg, 3, A group of friends discussing what to do at the event .
2718184776.jpg, 4, A group of people are in front of a row of buildings .
2763767621.jpg, 0, Male child playing on round contained ride in the park by himself .
2763767621.jpg, 1, A child in a red and blue hoodie is playing by himself .
2763767621.jpg, 2, A young boy turning the wheel on a merry-go-round .
2763767621.jpg, 3, A kid plays on a playground .
2763767621.jpg, 4, A boy in a jacket playing .
2858318330.jpg, 0, A man in a light blue cap is riding on a cart behind an animal who is pulling the cart .
2858318330.jpg, 1, A man is sitting on a wagon being loaded with bags and being pulled by an animal .
2858318330.jpg, 2, Man sitting on a cart that is being pulled by a large white ox .
2858318330.jpg, 3, A man and his cattle pulling a cart in the street .
2858318330.jpg, 4, A man being pulled on a cart by a cow .
2865703567.jpg, 0, A man jumps off a large building onto the ground .
2865703567.jpg, 1, a man jumping from one building to another closeby
2865703567.jpg, 2, A young man jumps from one balcony to another .
2865703567.jpg, 3, A man jumps off of one rooftop onto another .
2865703567.jpg, 4, A man is jumping across a gap .
2894576909.jpg, 0, a lone person in a red boat on a wild river with only one padel
2894576909.jpg, 1, This person in a red kayak faces a challange in the rapids .
2894576909.jpg, 2, A kayaker crashes against the force of the wave .
2894576909.jpg, 3, A man pilots a kayak through rough rapids .
2894576909.jpg, 4, A person riverrafting .
2953704682.jpg, 0, Four people in casual clothing are standing outside holding garbage bags .
2953704682.jpg, 1, Four people are outside carrying garbage bags and wearing rubber gloves .
2953704682.jpg, 2, People outside talking near a beach with a small girl .
2953704682.jpg, 3, Four people in a sandy area holding black trash bags .
2953704682.jpg, 4, A child and three adults picking up on the beach .
3019441253.jpg, 0, A man in a white t-shirt is walking past 2 graffiti paintings on the wall .
3019441253.jpg, 1, A man walking in front of a colorfully decorated building .
3019441253.jpg, 2, Man in light shirt and blue jeans walking by graffiti .
3019441253.jpg, 3, Man running next to artwork wall .
3019441253.jpg, 4, A man walking down the street .
3041262779.jpg, 0," Two mothers stroll their children in the park , during the beginning of Autumn ."
3041262779.jpg, 1, Two women with their baby strollers walking along a leaves covered street .
3041262779.jpg, 2, Two women are pushing strollers on a leaf covered walkway .
3041262779.jpg, 3, two people walking with strollers through a park
3041262779.jpg, 4, Two ladies walking with baby strollers .
3057749743.jpg, 0, A group of people of asian descent watch a street performer in a wooded park area .
3057749743.jpg, 1, A large crowd of people surround a colorfully dressed street entertainer .
3057749743.jpg, 2, A crowd of people watching a balloon twister on a beautiful day .
3057749743.jpg, 3, A crowd of people are gathered outside watching a performer .
3057749743.jpg, 4, A crowd is gathered around a man watching a performance .
3094928020.jpg, 0," A guy wearing a black hoodie and sunglasses is speaking into a microphone , while a guy in a ski mask plays a guitar in the background ."
3094928020.jpg, 1, A guy in a black hoodie standing in front of a Factory sign talks into a microphone .
3094928020.jpg, 2, Man with sunglasses singing with his band .
3094928020.jpg, 3, A band dressed in black performs .
3094928020.jpg, 4, A band is performing on stage .
3121498699.jpg, 0, A girl wearing a red jacket is holding a child wearing a red jacket close to a pink bicycle that has a white basket .
3121498699.jpg, 1, A woman in a red jacket holding a baby in a red jacket next to a bike .
3121498699.jpg, 2, A young Asian girl is holding a baby and standing next to a bicycle .
3121498699.jpg, 3, A young woman and baby in red coats with a pink bicycle .
3121498699.jpg, 4, A girl holds a young girl on the seat of a pink bicycle .
3134644844.jpg, 0, A man with a guitar playing to an ill little girl in a hospital bed .
3134644844.jpg, 1, A man is playing a guitar for a little girl in a hospital .
3134644844.jpg, 2, A man is playing the guitar for a child in a hospital bed
3134644844.jpg, 3, A man plays a guitar for a sick child in a hospital
3134644844.jpg, 4, A man plays guitar for a girl in the hospital .
3209966887.jpg, 0, A person using a brush to paint chinese characters on a vertical banner .
3209966887.jpg, 1, A man draws characters with his feel on the street .
3209966887.jpg, 2, A person drawing Chinese characters with his feet .
3209966887.jpg, 3, A person paints Asian characters on a banner .
3209966887.jpg, 4, a man paints chinese characters .
3239891140.jpg, 0, Old man in a blue and red sweater sits next to another old man wearing a white shirt appearing to be taking a nap .
3239891140.jpg, 1, Three elderly men are sitting next to each other .
3239891140.jpg, 2, Two old men in hats doze in the sun outside .
3239891140.jpg, 3, Two old men sitting down resting .
3239891140.jpg, 4, Elderly man wearing hats .
3259579174.jpg, 0, A young child coming down a snowy hill with snow flying around him near tiretracks .
3259579174.jpg, 1, A young child slides down a snow slope while smiling .
3259579174.jpg, 2, Young boy in a winter hat sliding down a snowy hill .
3259579174.jpg, 3, Little boy sledding down a snow covered hill .
3259579174.jpg, 4, A smiling boy with hat playing in the snow .
3273126450.jpg, 0," Two people wearing backpacks cross a rickety chain bridge , which is above a flowing river ."
3273126450.jpg, 1, Two backpackers walking across an intricate rope and wood bridge over a river .
3273126450.jpg, 2, Two people cross a bridge over a river in a forest .
3273126450.jpg, 3, A couple of hikers cross a bridge .
3273126450.jpg, 4, Two people crossing a footbridge .
3288494074.jpg, 0," A man in blue jeans and a red and black plaid shirt stands near a blue cart filled with buckets , brooms , and mops ."
3288494074.jpg, 1, A man with a red white and black striped shirt is pulling a cart full of blue buckets and brooms .
3288494074.jpg, 2, Man pulls three wheeled blue cart with various cleaning supplies in gray and blue buckets .
3288494074.jpg, 3, A man in a plaid colored shirt pulling a cart full of buckets and brooms .
3288494074.jpg, 4," A man pulling a cart with mops , buckets and other cleaning products ."
3307147971.jpg, 0, Two adults - a male and a female - are standing on scooters in a field of yellow flowers .
3307147971.jpg, 1, a man and woman are riding scooters through a field of grass and clover .
3307147971.jpg, 2, Two people wearing helmets ride over the yellow and white flowers .
3307147971.jpg, 3, Two people on scooters in a field of flowers .
3307147971.jpg, 4, A man and a woman ride scooter like vehicles
3320756943.jpg, 0, The people under the canopy are sitting on a bench ; the mother is taking a picture of a child with her cellphone .
3320756943.jpg, 1, A group of people gather under a screened in and roofed area .
3320756943.jpg, 2," A group of people sit on a bench , waiting for the bus ."
3320756943.jpg, 3, People observe animals in a covered exhibit at the zoo .
3320756943.jpg, 4, People sit on benches .
3405942945.jpg, 0, A little boy in a black and red striped shirt walks down a grassy hill .
3405942945.jpg, 1, A young boy in a striped sweatshirt and jeans running in the grass .
3405942945.jpg, 2," Boy in striped , hooded coat runs down grassy hill ."
3405942945.jpg, 3, The small boy is running through a grassy area .
3405942945.jpg, 4, Boy in red and black shirt walks through grass .
3422219732.jpg, 0, A skier is skiing down a very steep slope with a mountain in the background .
3422219732.jpg, 1, An individual is skiing down a mountain slope .
3422219732.jpg, 2, A person skiing down a snowy mountainside .
3422219732.jpg, 3, Skier coming down a very steep snow peak .
3422219732.jpg, 4, A skier goes down a near vertical slope .
3430779304.jpg, 0, Two cowboys rope a steer from horseback in an indoor corral .
3430779304.jpg, 1, Two cowboys on horseback lasso a young calf to the ground .
3430779304.jpg, 2, Two men ride horses and a calf runs between them .
3430779304.jpg, 3, Two cowboys on horses wrangle a calf in a rodeo .
3430779304.jpg, 4, Two people on horses chasing cow in an arena .
3451984463.jpg, 0, a man with a backpack wearing a yellow raincoat is riding a bicycle past red brick and stone wall .
3451984463.jpg, 1, A cyclist rides his black bicycle while wearing a yellow jacket and white helmet .
3451984463.jpg, 2, A cyclist is riding past buildings with backpack and cycling gear .
3451984463.jpg, 3," A cyclist with a helmet , backpack , and yellow jacket ."
3451984463.jpg, 4, A man wearing a backpack and helmet riding a bicycle .
3494345896.jpg, 0, A pair of dogs playing with a purple ball .
3494345896.jpg, 1, Two dogs playing ball together outside .
3494345896.jpg, 2, Two dogs playing with a purple ball .
3494345896.jpg, 3, Two dogs play with purple football .
3494345896.jpg, 4, Two dogs and a ball .
3497255828.jpg, 0," A girl poses on a rusty fire escape ladder in hot pink gloves , skirt and heels ."
3497255828.jpg, 1, Girl in colorful clothes and makeup poses on a building 's rusty ladder .
3497255828.jpg, 2, The woman is posing in high heels on a rusty ladder .
3497255828.jpg, 3, A model on a ladder in front of a rustic building .
3497255828.jpg, 4, A girl in pink and purple is climbing a ladder .
3504158556.jpg, 0, Three young men lean on the front of a Toyota truck .
3504158556.jpg, 1, Three teenage boys standing in front of a white car
3504158556.jpg, 2, Three men standing in front of a parked white care
3504158556.jpg, 3, Three young black men lean againest a white jeep .
3504158556.jpg, 4, Some young boys hang out around their car .
3520936130.jpg, 0, Two people are sitting on a wooden structure near a tree while conversing .
3520936130.jpg, 1, A man and a woman are sitting on a bench outside a wooden building .
3520936130.jpg, 2, Two people sit on a wooden bench and face each other to talk .
3520936130.jpg, 3, Two people sit on a brick wall and talk .
3520936130.jpg, 4, two people sit on a park bench .
352981175.jpg, 0, One mountaineer is kneeling on the ground next to another mountaineer who is standing .
352981175.jpg, 1, a skier helping a fellow skier get up from the snow
352981175.jpg, 2, two hikers in the snow adjusting rope equipment
352981175.jpg, 3, One climber helps another in the snow .
352981175.jpg, 4, Two people are hiking in the snow .
3538487621.jpg, 0," A man is relaxed in an overstuffed chair , reading a magazine ."
3538487621.jpg, 1, A man sits in a plush chair while reading a magazine .
3538487621.jpg, 2, Man in chair reading entertainment magazine .
3538487621.jpg, 3, A man sitting in a chair reading a magazine .
3538487621.jpg, 4, A man reading a magazine on the couch .
35400054.jpg, 0, Two people are sitting in a sailboat on the ocean as another person fishes from the same boat .
35400054.jpg, 1," A sailboat on a beautiful blue ocean with three people aboard , one of them fishing ."
35400054.jpg, 2, A lone sailboat moves across a beautiful blue sea with two men at the helm .
35400054.jpg, 3," Three people are sailing on the open , clear blue ocean ."
35400054.jpg, 4, Three people sailing on very blue waters .
3580277210.jpg, 0, An older man and a young girl tossing a ball back and forth with their sports equipment .
3580277210.jpg, 1, Two people are playing wiffle ball in a suburban area .
3580277210.jpg, 2, A man and a woman are playing lacrosse in a yard .
3580277210.jpg, 3, Man playing a game with a young girl .
3580277210.jpg, 4, Two people playing badminton .
3643684688.jpg, 0, A group of four men sits at a table on a platform before an audience in a darkened room .
3643684688.jpg, 1, A group of people sit on a panel on a stage with a crowd watching .
3643684688.jpg, 2, Four people are sitting at a table in front of an audience .
3643684688.jpg, 3, Several people sit at a lit table in front of a crowd
3643684688.jpg, 4, Four people sitting behind a table .
36451757.jpg, 0, Two men with brown shirts on and a woman are outside with two black dogs .
36451757.jpg, 1," Two men , a woman , and two dogs are walking in a field ."
36451757.jpg, 2, Several children and their two black dogs on a hill .
36451757.jpg, 3, A man is walking outside with two dogs .
36451757.jpg, 4, Three men walk with dogs outdoors .
3677702372.jpg, 0," A little blond girl wearing a hot pink outfit , is jumping on a pillow with her eyes closed as she smiles while holding onto the headboard ."
3677702372.jpg, 1, A young blond girl standing on a pillow on a bed smiling with her eyes closed .
3677702372.jpg, 2, A young girl squishes her face in a smile for the camera .
3677702372.jpg, 3, A girl in a pink dress is smiling and standing on a bed .
3677702372.jpg, 4, A little girl happily jumping on a bed .
3692836015.jpg, 0, Six men are pushing a large wooden wheel along the ground in front of an audience .
3692836015.jpg, 1, Several people dressed in like jerseys roll an old cannon during a competition .
3692836015.jpg, 2, A group of people in green shirts push a cannon in a parade .
3692836015.jpg, 3, Young adults wearing uniforms wheel a contraption .
3692836015.jpg, 4, People in matching outfits next to a canon .
381014058.jpg, 0, Two people hanging on the building wall are washing the windows .
381014058.jpg, 1, Two men washing windows on a building with large glass windows .
381014058.jpg, 2, Two people are in a lift on the outside of a tall building .
381014058.jpg, 3, Two people are on the side of a glass building .
381014058.jpg, 4, Two people cleaning windows .
3929242702.jpg, 0, Little boy standing next to a pillar with arms outstretched while his family sits along side .
3929242702.jpg, 1, A boy in a green handstands with his arms spread before a stone edifice .
3929242702.jpg, 2, A boy in a hat is reaching towards a concrete structure .
3929242702.jpg, 3, Boy in green hat reacts to historical spot .
3929242702.jpg, 4, Young child plays near stone bench .
4029918745.jpg, 0," One child sitting on the grass , and the other child is holding a stick ."
4029918745.jpg, 1, Two children are sitting while one is standing over them .
4029918745.jpg, 2," Two boys , one standing up , playing with sticks ."
4029918745.jpg, 3, Three toddlers sit amidst cut down foliage .
4029918745.jpg, 4, Two young kids are playing in the grass .
403678611.jpg, 0, A man with a black hat and black beard is reading a magazine sitting on a blue bench .
403678611.jpg, 1, A man in a cap with a goatee leans against the window and reads a magazine .
403678611.jpg, 2, The man reading a magazine is sitting in the large room .
403678611.jpg, 3, A man with a hat sits in a booth and reads .
403678611.jpg, 4, A man sitting on an empty train
4111420077.jpg, 0, A young man carries a big basket while an older man behind him talks on a cellphone .
4111420077.jpg, 1, A man in a green and white striped shirt carries a large basket on his shoulder .
4111420077.jpg, 2, Hispanic man holding a very large basket while standing in the street .
4111420077.jpg, 3, man in striped shirt carrying wooden basket over right shoulder
4111420077.jpg, 4, a man standing on a street holding a basket besides his head
4149727553.jpg, 0," A boy diving in to a hotel swimming pool , with a corner of a chair in the foreground ."
4149727553.jpg, 1," A boy is diving headfirst into a pool of water , which is indoors ."
4149727553.jpg, 2, Young man half-diving into indoor community pool .
4149727553.jpg, 3, A swimmer is trying to dive into the water .
4149727553.jpg, 4, A kid diving into a public indoor pool .
4291704682.jpg, 0," Two employees of a food shop wearing red hats , red aprons , and red pants sweep up the sidewalk outside ."
4291704682.jpg, 1, Two women dressed in white and red sweep the sidewalk in front of a store .
4291704682.jpg, 2, Two workers sweep the sidewalk outside of their small shop .
4291704682.jpg, 3, There are two people sweeping a sidewalk in this picture .
4291704682.jpg, 4, You wish your streets where as clean as theirs .
4294393495.jpg, 0, Three men dressed in suits are standing in front of a India Inc. sign .
4294393495.jpg, 1, Three professional men in suits stand around talking .
4294393495.jpg, 2, A white man is speaking with two Indian businessmen .
4294393495.jpg, 3, Three men talking at an entrepreneurs convention .
4294393495.jpg, 4, Three men in business clothing talking .
4411079474.jpg, 0," A man wearing glasses and sitting at a computer , looks back at a man wearing a white shirt as he is pointing at something ."
4411079474.jpg, 1, An Asian man standing next to a door points to something .
4411079474.jpg, 2, Someone on a laptop looks at someone standing by a door .
4411079474.jpg, 3, A man in a white shirt has his index finger raised .
4411079474.jpg, 4, Two men are having a discussion in a classroom .
4481311242.jpg, 0, A black male is preparing waffle cones in a kitchen area .
4481311242.jpg, 1, A restaurant worker in an apron preparing waffle cones .
4481311242.jpg, 2, An employee is making waffle cones by hand .
4481311242.jpg, 3, This person is making ice cream cones .
4481311242.jpg, 4, A man handling ice cream cones .
4565079276.jpg, 0, A woman is riding a bicycle down a sidewalk in a market district with cars parked behind her .
4565079276.jpg, 1, A woman with a white head cover rides a bike on the sidewalk in a city .
4565079276.jpg, 2, A woman with a headscarf on is riding a bike .
4565079276.jpg, 3, A woman is riding a red bike .
4565079276.jpg, 4, A woman riding a bicycle .
4615085714.jpg, 0, A girl in a green and white striped hat looking down in front of a wall decorated with a painting of a man 's face .
4615085714.jpg, 1, Woman in green and white striped cap stands near graffiti .
4615085714.jpg, 2, A woman in a white and green striped hat is looking down .
4615085714.jpg, 3, A woman with her head down is in a very run down area .
4615085714.jpg, 4, A young woman walking through a run down alley .
4622779689.jpg, 0, A blond woman in a brown sweater is standing behind a counter with a display of seafood .
4622779689.jpg, 1, A woman in a black shirt stands in front of a counter of seafood .
4622779689.jpg, 2, Blond lady with apron inquires about fish at the market
4622779689.jpg, 3, A blond woman in brown is selling shrimp .
4622779689.jpg, 4, A woman stands with a plastic bag .
4671516679.jpg, 0, A young woman in a blue top with a white sweater walks down a city street while holding her iced coffee drink .
4671516679.jpg, 1, A woman in a floral sweater and blue clothing holds a coffee-colored beverage by a busy street .
4671516679.jpg, 2," Woman with an iced coffee in hand , walking down the street ."
4671516679.jpg, 3, A lady is walking down the street drinking iced coffee .
4671516679.jpg, 4, A woman holding a beverage is walking down the street .
4672056076.jpg, 0," A guy wearing a white shirt and hat is outside standing only on his one hand , while his legs are up in the air ."
4672056076.jpg, 1, A man in a gray hat and tank top with black shorts doing a handstand .
4672056076.jpg, 2, A guy is on one hand throwing his feet up surrounded by a crowd .
4672056076.jpg, 3, Man in a hood performing in front of a group of onlookers .
4672056076.jpg, 4, Young man standing on one hand in front of an audience .
4715895796.jpg, 0," Two women in black jackets , sharing an umbrella while listening to a jazz orchestra playing on stage ."
4715895796.jpg, 1," Two women are standing under an umbrella together , in front of a bandstand ."
4715895796.jpg, 2, Two women are sharing an umbrella together .
4715895796.jpg, 3, Two women are sharing an umbrella .
4715895796.jpg, 4, Two girls share one umbrella .
4739481821.jpg, 0," A young woman in a colorful two piece swimsuit laying on an orange towel , sunning herself on a wooden dock ."
4739481821.jpg, 1, A woman in a bikini is laying on a blanket on a dock over the water .
4739481821.jpg, 2, A woman dressed in a bikini looks up while laying in the sun .
4739481821.jpg, 3, She is wearing a multicolored bathing suit .
4739481821.jpg, 4, A woman in a bikini sunbathes on a dock .
4763795859.jpg, 0, A girl in a green striped bikini sunbathing on a brown blanket on a concrete embankment .
4763795859.jpg, 1, A woman is sunbathing on a concrete ledge with a field of grass behind her .
4763795859.jpg, 2, A dark-haired woman in a striped bikini sunbathes on a blanket .
4763795859.jpg, 3, A woman outside sun-bathing on a blanket in a bikini .
4763795859.jpg, 4, A woman is sunbathing on the ground .
4822103838.jpg, 0," A large group of people are walking towards something , and most of them have backpacks ."
4822103838.jpg, 1," A crowd stands around , waiting for something ."
4822103838.jpg, 2, A place crowded with people coming and going .
4822103838.jpg, 3, Various people are walking on a street .
4822103838.jpg, 4, A crowd of people together in one area .
4846570953.jpg, 0, People walk through a narrow paved walkway along side shops .
4846570953.jpg, 1, People are browsing through items in an open aired market .
4846570953.jpg, 2, Young girl looks at postcards in alleyway full of shops .
4846570953.jpg, 3, A young girl looks at things in an archway .
4846570953.jpg, 4, A child looking at postcards in a market .
4853218641.jpg, 0, A young teenage girl talking to her boyfriend on the phone about moving into another city
4853218641.jpg, 1, A woman wearing a very short dress standing up with her cellphone to her ear .
4853218641.jpg, 2, A woman wearing an attractive black shiny dress talks on a cellphone .
4853218641.jpg, 3, A lady in a black shimmery dress talking on cellphone .
4853218641.jpg, 4, A woman in a dress is talking on the phone .
4862877623.jpg, 0, A man with a blue shirt riding a red bike doing a wheelie in the middle of the road .
4862877623.jpg, 1, A man rides his bike on one wheel while towing something behind him .
4862877623.jpg, 2, A man on a red bicycle that is dragging a wagon behind it .
4862877623.jpg, 3, A guy riding a bike in the street doing a pop-a-wheely .
4862877623.jpg, 4, A man on a red bike popping a wheelie .
4944215863.jpg, 0, A man in a red apron sells snacks and toys from a cart .
4944215863.jpg, 1, A man sitting at a market reading the paper .
4944215863.jpg, 2, A man in a vest is reading the newspaper .
4944215863.jpg, 3, Vendors serve food on the street .
4944215863.jpg, 4, a cook selling his goods .
5009013963.jpg, 0," Two football players , one in white and one in blue , where the blue player is tackling the white player"
5009013963.jpg, 1, A football player in blue and gold is attempting to tackle the player in white .
5009013963.jpg, 2, One football player is attempting to tackle another who has the football .
5009013963.jpg, 3, Two football players tumbling to the ground .
5009013963.jpg, 4, Two man playing a game and disturbing .
519228867.jpg, 0, A smiling young girl wearing a swimsuit is soaking in a tub of water .
519228867.jpg, 1, A little girl is sitting in a metal tub filled with water .
519228867.jpg, 2, A little girl in a metal tub filled with water .
519228867.jpg, 3, A girl sits and laughs while in a kiddie pool .
519228867.jpg, 4, A small girl in a tub of water .
530347828.jpg, 0, people gather in a green field standing or sitting next to a street sign which may be there for comedic purposes .
530347828.jpg, 1, A few old men are sitting next to a post on a grassy hill .
530347828.jpg, 2, Hikers resting and taking pictures of scenery .
530347828.jpg, 3, Group sitting on a grassy hill resting .
530347828.jpg, 4, Men resting on a hill in the sun .
5738778049.jpg, 0, A middle-aged man in blue shirt cutting up and gutting fishes while other men in the background do similar tasks .
5738778049.jpg, 1, A butcher is slicing meat in a store on the counter .
5738778049.jpg, 2, A butcher is hard at work flaying a large fish .
5738778049.jpg, 3, Butcher making different cuts of meat .
5738778049.jpg, 4, Man cutting fish in a fish market .
6046474576.jpg, 0, A man wearing hot pink briefs is standing on an outdoor platform juggling in front of a crowd below .
6046474576.jpg, 1, A shirtless man in tight pink shorts is standing on a platform juggling while an audience watches .
6046474576.jpg, 2, A man in pink underwear standing on a platform in front of a building with a crowd looking on .
6046474576.jpg, 3, A man in a pink swimsuit is standing on a platform above a crowd .
6046474576.jpg, 4, Young man performs an artistic feat in front of a crowd .
6129630643.jpg, 0, Several people dressed in cycling clothes are standing in a row .
6129630643.jpg, 1, Tour De France bike riders waiting for the race to begin .
6129630643.jpg, 2, Competing bicyclists prepare for the start of a race .
6129630643.jpg, 3, A young woman wearing cycling attire turns backward
6129630643.jpg, 4, Bicyclists in a race with onlookers .
6135433028.jpg, 0," A football game is being played on a field under bright lights , one man is running with the ball trying to stay away from the opposing team ."
6135433028.jpg, 1," Football players dressed in yellow , blue , and white uniforms are playing against other players dressed in gold , and blue in a stadium ."
6135433028.jpg, 2," A group of football players from opposing teams are executing a play , one is on the ground in the background ."
6135433028.jpg, 3, Football players from two different teams all run in the same direction across the field .
6135433028.jpg, 4, A football play in action with members of both teams visible .
6318408733.jpg, 0, A tennis player in white clothes finishing a strike on a tennis ball .
6318408733.jpg, 1, A man wearing white tennis clothing is swinging a tennis racket .
6318408733.jpg, 2, A tennis player is hitting a tennis ball with all his might .
6318408733.jpg, 3, A tennis player swinging a racket while the ball boy watch .
6318408733.jpg, 4, A man playing in a tennis match .
6397425353.jpg, 0, A person is catching a wave on a surfboard in the ocean on a clear sunny day .
6397425353.jpg, 1, A man is falling off of his surfboard as he falls into a wave in the ocean .
6397425353.jpg, 2," A man in a red , white and blue wetsuit is surfing on a blue surfboard ."
6397425353.jpg, 3, This surfer is enjoying the waves on a sunny day .
6397425353.jpg, 4, A person is surfing on a blue surfboard .
6555213067.jpg, 0, Several young adults sit in a room with a projector on the ceiling .
6555213067.jpg, 1, Students sitting in a classroom are learning about art .
6555213067.jpg, 2, A group of people in a classroom sitting around a table
